ingredient,function,form,id_test,assay,type,sort_name
Lutein,"Color, Source Of Lutein",Free Flowing Orange Red Powder,All ID tests listed in monograph,All assays listed in monograph,low_suscept,Lutein
Lycopene Extract From Tomato,"Antioxidant, Color, Source Of Lycopene",Dark Red Viscous Liquid,All ID tests listed in monograph,All assays listed in monograph,low_suscept,Lycopeneextractfromtomato
Lycopene From Blakeslea Trispora,"Color, Source Of Lycopene",Red Crystalline Powder,All ID tests listed in monograph,All assays listed in monograph,pending,Lycopenefromblakesleatrispora
"Lycopene, Synthetic",Source Of Lycopene,Dark Red To Dark Violet Crystals Or Crystalline Powder,All ID tests listed in monograph,All assays listed in monograph,pending,Lycopenesynthetic
L Lysine Monohydrochloride,Nutrient,"White Or Nearly White, Free Flowing, Crystalline Powder",Infrared absorption,Procedure,pending,Lysinemonohydrochloride3
Mace Oil,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,None,pending,Maceoil
"Magnesium Ammonium Potassium Chloride, Hydrate","Dough Conditioner, Flavoring Agent, Flavoring Intensifier, Salt Substitute",White Co Crystalline Salt,All ID tests listed in monograph,All assays listed in monograph,pending,Magnesiumammoniumpotassiumchloridehydrate
Magnesium Carbonate,"Anticaking Agent, Carrier, Color Retention Agent, Drying Agent, P H Control","Light, White, Friable Masses Or A Bulky White Powder",Magnesium,Procedure,high_suscept_id,Magnesiumcarbonate
Magnesium Chloride,"Color Retention Agent, Firming Agent",Colorless Flakes Or Crystals,All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Magnesiumchloride
Magnesium Gluconate,Nutrient,White To Off White Powder Or Granulate,All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Magnesiumgluconate
Magnesium Hydroxide,"Color Retention Agent, Drying Agent, P H Control","White, Bulky Powder",Magnesium,Procedure,pending,Magnesiumhydroxide
Magnesium Lactate,"Buffer, Dough Conditioner, Nutrient","White Or Almost White, Crystalline Or Granular Powder",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Magnesiumlactate
Magnesium Oxide,"Anticaking Agent, Firming Agent, Free Flowing Agent, Neutralizer, P H Control","Very Bulky, White Powder (Light Magnesium Oxide) Or Relatively Dense, White Powder (Heavy Magnesium Oxide)",Magnesium,Procedure,pending,Magnesiumoxide
"Magnesium Phosphate, Dibasic, Mixed Hydrates","Leavening Agent, Nutrient, P H Control Agent","White, Crystalline Powder",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Magnesiumphosphatedibasicmixedhydrates
"Magnesium Phosphate, Dibasic, Trihydrate","Leavening Agent, Nutrient, P H Control Agent","White, Crystalline Powder",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Magnesiumphosphatedibasictrihydrate
"Magnesium Phosphate, Monobasic","Nutrient, P H Control Agent","White, Crystalline Powder",All ID tests listed in monograph,All assays listed in monograph,pending,Magnesiumphosphatemonobasic
"Magnesium Phosphate, Tribasic",Nutrient,"White, Crystalline Powder",All ID tests listed in monograph,All assays listed in monograph,pending,Magnesiumphosphatetribasic
Magnesium Silicate,"Anticaking Agent, Filter Aid","Very Fine, White Powder Free From Grittiness",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Magnesiumsilicate
Magnesium Stearate,"Anticaking Agent, Binder, Emulsifier","Fine, White, Bulky Powder That Is Unctuous And Free From Grittiness",All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Magnesiumstearate
Magnesium Sulfate,Nutrient,Colorless Crystal Or Granular Crystalline Powder,All ID tests listed in monograph,All assays listed in monograph,pending,Magnesiumsulfate
Malic Acid,"Acidifier, Flavoring Agent","White Or Nearly White, Crystalline Powder Or Granules",Infrared absorption,Procedure,high_suscept_id,Malicacid
Maltitol,"Humectant, Stabilizer, Sweetener","White, Crystalline Powder",Thin-layer chromatography,Procedure,low_suscept,Maltitol
Maltitol Syrup,"Humectant, Stabilizer, Sweetener, Texturizing Agent","Clear, Colorless, Syrupy Liquid",All ID tests listed in monograph,All assays listed in monograph,low_suscept,Maltitolsyrup
Maltodextrin,"Anticaking Agent, Bulking Agent, Free Flowing Agent, Stabilizer, Thickener","White, Slightly Hygroscopic Powder, As Granules, Or As A Clear To Hazy Solution In Water",Procedure,Reducing sugars assay,high_suscept,Maltodextrin
Maltol,Flavoring Agent,"White, Crystalline Powder",UV-visible absorption spectrum,Procedure,pending,Maltol
Maltol Isobutyrate,Flavoring Agent,Colorless To Yellow Liquid,Infrared spectra,Procedure,pending,Maltolisobutyrate
Malt Syrup,"Color, Enzyme, Flavoring Agent, Humectant, Nutritive Sweetener, Stabilizer, Texturizer, Thickener","Yellow To Brown, Viscous Liquid",Procedure,Procedure,pending,Maltsyrup
"Mandarin Oil, Coldpressed",Flavoring Agent,"Clear, Dark Orange To Red Yellow Or Brown Orange Liquid",Infrared spectra,Aldehydes,pending,Mandarinoilcoldpressed
Manganese Chloride,Nutrient,"Large, Irregular, Pink, Translucent Crystals",All ID tests listed in monograph,All assays listed in monograph,pending,Manganesechloride
Manganese Citrate,Nutrient,"Large Pink Or Pink White, Fine, Granular Solid",All ID tests listed in monograph,All assays listed in monograph,pending,Manganesecitrate
Manganese Gluconate,Nutrient,Slightly Pink Powder,All ID tests listed in monograph,All assays listed in monograph,pending,Manganesegluconate
Manganese Glycerophosphate,Nutrient,White Or Pink White Powder,Manganese,Procedure,pending,Manganeseglycerophosphate
Manganese Hypophosphite,Nutrient,"Pink, Granular Or Crystalline Powder",All ID tests listed in monograph,All assays listed in monograph,pending,Manganesehypophosphite
Manganese Sulfate,Nutrient,"Pale Pink, Granular Powder",All ID tests listed in monograph,All assays listed in monograph,pending,Manganesesulfate
Mannitol,"Nutritive Sweetener, Texturizing Agent","White, Crystalline Powder Or Free Flowing Granules",All ID tests listed in monograph,All assays listed in monograph,low_suscept,Mannitol
Maritime Pine Extract,Source Of Procyanidins And Other Phenolic Compounds,"Fine, Brown Powder",All ID tests listed in monograph,All assays listed in monograph,pending,Maritimepineextract
"Marjoram Oil, Spanish Type",Flavoring Agent,Slightly Yellow Liquid,Infrared spectra,Cineole,pending,Marjoramoilspanishtype
"Marjoram Oil, Sweet",Flavoring Agent,Yellow Or Green Yellow Oil,Infrared spectra,None,pending,Marjoramoilsweet
"Masticatory Substances, Natural",Masticatory Substance In Chewing Gum Base,Coagulated Material That Varies In Color From White To Brown,None,None,pending,Masticatorysubstancesnatural
"Menhaden Oil, Hydrogenated","As A Blend With Other Fats And Oils, Coating Agent, Crystal Stabilizer","Opaque, White Solid Or Semisolid",Fatty acid composition,None,pending,Menhadenoilhydrogenated
"Menhaden Oil, Refined","As A Blend With Other Fats And Oils, Source Of Long Chain Polyunsaturated Fatty Acids",See Monograph,Fatty acid composition,None,pending,Menhadenoilrefined
"Mentha Arvensis Oil, Partially Dementholized",Flavoring Agent,Colorless To Yellow Liquid,Infrared spectra,Total alcohols,pending,Menthaarvensisoilpartiallydementholized
Menthol,Flavoring Agent,"Colorless, Hexagonal Crystals, Usually Like Needles, As Fused Masses, Or As A Crystalline Powder",Infrared spectra,None,pending,Menthol
(Ã�) Menthyl Acetate,Flavoring Agent,Colorless Liquid,None,Procedure,pending,Menthylacetate
"Menthyl Acetate, Racemic",Flavoring Agent,Colorless Liquid,None,Procedure,pending,Menthylacetateracemic
2 Mercaptopropionic Acid,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Mercaptopropionicacid
Meso Zeaxanthin,"Color, Source Of Meso Zeaxanthin",Free Flowing Orange To Pale Yellow Powder,All ID tests listed in monograph,All assays listed in monograph,low_suscept,Mesozeaxanthin
Dl Methionine,Nutrient,White Crystalline Platelets Or Powder,Infrared spectra,Procedure,high_suscept_id,Methionine2
L Methionine,Nutrient,"Colorless Or White, Lustrous Plates, Or White, Crystalline Powder",Infrared absorption,Procedure,low_suscept,Methionine3
(Ã�) Menthone,Flavoring Agent,Almost Colorless Liquid,None,Procedure,pending,Methone
P Methoxybenzaldehyde,Flavoring Agent,Colorless To Slightly Yellow Liquid,Infrared spectra,Procedure,pending,Methoxybenzaldehyde
2 Methoxy 3 (Or 5 Or 6 ) Isopropyl Pyrazine,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Methoxyisopropylpyrazine
2 Methoxy 3(5) Methylpyrazine,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Methoxymethylpyrazine
4 P Methoxyphenyl 2 Butanone,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Methoxyphenylbutanone
2 Methoxypyrazine,Flavoring Agent,Colorless To Yellow Liquid,Infrared spectra,Procedure,pending,Methoxypyrazine
Methyl Acetate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Methylacetate
4 Methyl Acetophenone,Flavoring Agent,Colorless Or Nearly Colorless Liquid,Infrared spectra,Procedure,pending,Methylacetophenone
Methyl Alcohol,Extraction Solvent,"Clear, Colorless, Flammable Liquid",None,Specific gravity,pending,Methylalcohol
P Methyl Anisole,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Methylanisole
Methyl Anthranilate,Flavoring Agent,Colorless To Pale Yellow Liquid With Blue Fluorescence,Infrared spectra,Procedure,pending,Methylanthranilate
Methyl Benzoate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Methylbenzoate
Methylbenzyl Acetate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Methylbenzylacetate
Alpha Methylbenzyl Alcohol,Flavoring Agent,Colorless Liquid Above Room Temperature,Infrared spectra,Procedure,pending,Methylbenzylalcohol
2 Methyl Butanal,Flavoring Agent,Colorless To Pale Yellow Liquid,None,Procedure,pending,Methylbutanal1
3 Methyl Butanal,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Methylbutanal2
2 Methylbutyl Acetate,Flavoring Agent,Colorless To Pale Yellow Liquid,None,Procedure,pending,Methylbutylacetate
2 Methylbutyl Isovalerate,Flavoring Agent,Colorless Liquid,None,Procedure,pending,Methylbutylisovalerate
Methyl Butyrate,Flavoring Agent,Colorless Liquid,None,Procedure,pending,Methylbutyrate
2 Methylbutyric Acid,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Methylbutyricacid
Methylcellulose,"Binder, Bodying Agent, Bulking Agent, Emulsifier, Film Former, Stabilizer, Thickener","White, Fibrous Powder Or Granules",All ID tests listed in monograph,All assays listed in monograph,pending,Methylcellulose
Alpha Methylcinnamaldehyde,Flavoring Agent,Yellow Liquid,Infrared spectra,Procedure,pending,Methylcinnamaldehyde
Methyl Cinnamate,Flavoring Agent,White To Slightly Yellow Crystalline Mass,Infrared spectra,Procedure,pending,Methylcinnamate
6 Methylcoumarin,Flavoring Agent,White Crystalline Solid,Infrared spectra,Procedure,pending,Methylcoumarin
Methyl Cyclopentenolone,Flavoring Agent,"White, Crystalline Powder",Infrared spectra,None,pending,Methylcyclopentenolone
"5 H 5 Methyl 6,7 Dihydrocyclopenta[B]Pyrazine",Flavoring Agent,Yellow To Brown Liquid,None,Procedure,pending,Methyldihydrocyclopentapyrazine
Methylene Chloride,Extraction Solvent,"Clear, Colorless, Nonflammable Liquid",None,Procedure,high_suscept_id,Methylenechloride
"Methyl Ester Of Rosin, Partially Hydrogenated",Masticatory Substance In Chewing Gum Base,Light Amber Colored Liquid Resin,Infrared spectra,None,pending,Methylesterofrosinpartiallyhydrogenated
Methyl Ethyl Cellulose,"Emulsifier, Foaming Agent, Stabilizer","White Or Pale Cream, Fibrous Solid Or Powder",All ID tests listed in monograph,All assays listed in monograph,low_suscept,Methylethylcellulose
Methyl Eugenol,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Methyleugenol
5 Methyl Furfural,Flavoring Agent,Yellow To Brown Liquid,Infrared spectra,Procedure,pending,Methylfurfural
Methyl Furoate,Flavoring Agent,Pale Yellow To Brown Liquid,Infrared spectra,Procedure,pending,Methylfuroate
6 Methyl 5 Hepten 2 One,Flavoring Agent,Slightly Yellow Liquid,Infrared spectra,Procedure,pending,Methylheptenone
Methyl Hexanoate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Methylhexanoate
Methyl Hexyl Ketone,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Methylhexylketone
Methyl Ionones,Flavoring Agent,Clear To Pale Yellow To Yellow Liquid,None,Procedure,pending,Methylionones
Methyl Isobutyrate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Methylisobutyrate
Methyl Isoeugenol,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Methylisoeugenol
5 Methyl 2 Isopropyl 2 Hexenal,Flavoring Agent,Slightly Yellow Liquid,Infrared spectra,Procedure,pending,Methylisopropylhexenal
Methyl Isovalerate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Methylisovalerate
Methyl 2 Methylbutyrate,Flavoring Agent,Almost Colorless Liquid,None,Procedure,pending,Methylmethylbutyrate
Methyl 3 Methylthiopropionate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Methylmethylthiopropionate
Methyl Beta Naphthyl Ketone,Flavoring Agent,White Or Nearly White Crystalline Solid,Infrared spectra,Procedure,pending,Methylnaphthylketone
Methyl 2 Octynoate,Flavoring Agent,Colorless To Slightly Yellow Liquid,Infrared spectra,Procedure,pending,Methyloctynoate
Methylparaben,"Antimicrobial Agent, Preservative","Small, Colorless Crystals Or White, Crystalline Powder",All ID tests listed in monograph,All assays listed in monograph,pending,Methylparaben
2 Methylpentanoic Acid,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Methylpentanoicacid
4 Methyl 2 Pentanone,Flavoring Agent,"Colorless, Mobile Liquid",None,Procedure,pending,Methylpentanone
2 Methyl 2 Pentenoic Acid,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Methylpentenoicacid
Methyl Phenylacetate,Flavoring Agent,Colorless Or Nearly Colorless Liquid,Infrared spectra,Procedure,pending,Methylphenylacetate
Methyl Phenylcarbinyl Acetate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Methylphenylcarbinylacetate
5 Methyl 2 Phenyl 2 Hexenal,Flavoring Agent,Colorless To Pale Yellow Liquid,None,Procedure,pending,Methylphenylhexenal
2 Methyl Propyl 3 Methyl Butyrate,Flavoring Agent,Colorless To Pale Yellow Liquid,None,Procedure,pending,Methylpropylmethylbutyrate
2 Methylpyrazine,Flavoring Agent,Colorless To Slightly Yellow Liquid,Infrared spectra,Procedure,pending,Methylpyrazine
Methyl Salicylate,Flavoring Agent,Colorless To Yellow Liquid,Infrared spectra,Procedure,pending,Methylsalicylate
4 Methyl 5 Thiazole Ethanol,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Methylthiazoleethanol
Methyl Thiobutyrate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Methylthiobutyrate
3 Methylthiopropionaldehyde,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Methylthiopropionaldehyde
2 Methylundecanal,Flavoring Agent,Colorless To Slightly Yellow Liquid,Infrared spectra,Procedure,pending,Methylundecanal
Methyl Valerate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Methylvalerate
"Mineral Oil, High Viscosity","Lubricant, Protective Coating, Release Agent","Colorless, Transparent, Oily Liquid, Free Or Nearly Free From Fluorescence",Carbon number at 5% distillation point,None,pending,Mineraloilhighviscosity
"Mineral Oil, Medium And Low Viscosity","Defoaming Agent, Glazing Agent, Release Agent, Sealing Agent","Colorless, Transparent, Oily Liquid, Free Or Nearly Free From Fluorescence",Carbon number at 5% distillation point,None,pending,Mineraloilmediumandlowviscosity
Monoammonium L Glutamate,"Flavor Enhancer, Salt Substitute","White, Free Flowing, Crystalline Powder",Infrared spectra,Procedure,high_suscept_id,Monoammoniumglutamate
Monoammonium Glycyrrhizinate,Flavoring Agent,White Powder,Ammonium,Procedure,high_suscept_id,Monoammoniumglycyrrhizinate
Mono And Diglycerides,"Emulsifier, Stabilizer","Substance That Varies In Consistency From Yellow Liquid Through White To Pale Yellow Colored Plastic To Hard, Ivory Colored Solid",None,None,high_suscept,Monoanddiglycerides
Monoglyceride Citrate,Solubilizer For Antioxidants,"Viscous, Amber Liquid",None,None,pending,Monoglyceridecitrate
Monopotassium L Glutamate,"Flavor Enhancer, Salt Substitute","White, Free Flowing, Crystalline Powder",Infrared spectra,Procedure,high_suscept_id,Monopotassiumglutamate
Monosodium L Glutamate,Flavor Enhancer,"White, Free Flowing Crystals Or Crystalline Powder",Infrared spectra,Procedure,low_suscept,Monosodiumglutamate
Morpholine,"Boiler Water Additive, Component Of Coatings For Fruits And Vegetables","Clear, Colorless, Mobile, Hygroscopic Liquid",Infrared spectra,Procedure,pending,Morpholine
Mustard Oil,Flavoring Agent,"Clear, Pale Yellow Liquid",Infrared spectra,Procedure,pending,Mustardoil
Myrcene,Flavoring Agent,Colorless To Pale Yellow Liquid,None,Procedure,pending,Myrcene
Myristaldehyde,Flavoring Agent,Colorless To Pale Yellow Liquid,None,Procedure,pending,Myristaldehyde
Myristic Acid,"Component In The Manufacture Of Other Food Grade Additives, Defoaming Agent","Hard, White Or Faintly Yellow, Somewhat Glossy, Crystalline Solid Or As A White Or Yellow White Powder",None,None,high_suscept_id,Myristicacid
Myristyl Alcohol,Flavoring Agent,"Colorless To White, Waxy, Solid Flakes",None,Procedure,pending,Myristylalcohol
Myrrh Oil,Flavoring Agent,Light Brown Or Green Liquid,Infrared spectra,None,high_suscept_id,Myrrhoil
Beta Naphthyl Ethyl Ether,Flavoring Agent,White To Pale Yellow Crystals,Infrared spectra,Procedure,pending,Napthylethylether
Natamycin,Antimycotic,Off White To Cream Colored Powder,Ultraviolet absorption,Procedure,low_suscept,Natamycin
Neotame,"Flavor Enhancer, Non Nutritive Sweetener",White To Off White Powder,Infrared absorption,Procedure,pending,Neotame
Nerol,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Nerol
Nerolidol,Flavoring Agent,Colorless To Straw Colored Liquid,Infrared spectra,Procedure,pending,Nerolidol
Neryl Acetate,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Nerylacetate
Niacin,Nutrient,White Or Light Yellow Crystals Or A Crystalline Powder,All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Niacin
Niacinamide,Nutrient,"White, Crystalline Powder",All ID tests listed in monograph,All assays listed in monograph,pending,Niacinamide
Niacinamide Ascorbate,Nutrient,Yellow Colored Powder That May Gradually Darken Upon Exposure To Air,All ID tests listed in monograph,All assays listed in monograph,high_suscept_id,Niacinamideascorbate
Nickel,Catalyst For Hydrogenation Reactions,"Lustrous, White, Hard, Ferromagnetic, Metallic Solid",All ID tests listed in monograph,All assays listed in monograph,low_suscept,Nickel
Nisin A Preparation,Antimicrobial Agent,"White, Free Flowing Powder",None,Procedure,pending,Nisinapreparation
Nitrogen,"Air And Oxygen Displacer, Direct Contact Freezing Agent (In Liquid Form), Packaging Gas, Propellant And Aerating Agent",Colorless Non Combustible Gas,Flame test,Procedure,pending,Nitrogen
Nitrogen Enriched Air,Air And Oxygen Displacer,Colorless Gas,Flame test,Procedure,pending,Nitrogenenrichedair
Nitrous Oxide,"Aerating Agent, Packaging Gas, Propellant",Colorless Gas,All ID tests listed in monograph,All assays listed in monograph,pending,Nitrousoxide
"(E),(Z) 2,6 Nonadienal",Flavoring Agent,Slightly Yellow Liquid,Infrared spectra,Procedure,pending,Nonadienal
"(E),(Z) 2,6 Nonadienol",Flavoring Agent,White To Yellow Liquid,Infrared spectra,Procedure,pending,Nonadienol
Delta Nonalactone,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Nonalactone
Gamma Nonalactone,Flavoring Agent,Colorless To Slightly Yellow Liquid,Infrared spectra,Procedure,pending,Nonalactone6
Nonanal,Flavoring Agent,Colorless To Light Yellow Liquid,Infrared spectra,Procedure,pending,Nonanal
Nonanoic Acid,Flavoring Agent,Colorless To Pale Yellow Liquid,None,Procedure,pending,Nonanoicacid
2 Nonanone,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Nonanone
Noncrystallizing Sorbitol Solution,"Nutritive Sweetener, Texturizing Agent","Clear, Colorless, Syrupy Liquid",All ID tests listed in monograph,All assays listed in monograph,low_suscept,Noncrystallizingsorbitolsolution
(E) 2 Nonenal,Flavoring Agent,White To Slightly Yellow Liquid,Infrared spectra,Procedure,pending,Nonenal
(E) 2 Nonen 1 Ol,Flavoring Agent,White Liquid,Infrared spectra,Procedure,pending,Nonenol1
(Z) 6 Nonen 1 Ol,Flavoring Agent,White To Slightly Yellow Liquid,Infrared spectra,Procedure,pending,Nonenol2
Nonyl Acetate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Nonylacetate
Nonyl Alcohol,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Nonylalcohol
Nutmeg Oil,Flavoring Agent,Colorless Or Pale Yellow Liquid,Infrared spectra,None,high_suscept,Nutmegoil
Delta Octalactone,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Octalactone
Gamma Octalactone,Flavoring Agent,Colorless To Slightly Yellow Liquid,Infrared spectra,Procedure,pending,Octalactone6
Octanal,Flavoring Agent,Colorless To Light Yellow Liquid,Infrared spectra,Procedure,pending,Octanal
Octanoic Acid,"Component In The Manufacture Of Other Food Grade Additives, Defoaming Agent, Flavoring Agent","Colorless, Oily Liquid",None,None,high_suscept_id,Octanoicacid
3 Octanol,Flavoring Agent,Colorless Liquid,None,Procedure,pending,Octanol
(E) 2 Octen 1 Al,Flavoring Agent,Slightly Yellow Liquid,Infrared spectra,Procedure,pending,Octenal
1 Octen 3 Ol,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Octenol1
(Z) 3 Octen 1 Ol,Flavoring Agent,Colorless To Slightly Yellow Liquid,Infrared spectra,Procedure,pending,Octenol2
1 Octen 3 Yl Acetate,Flavoring Agent,Almost Colorless Liquid,Infrared spectra,Procedure,pending,Octenylacetate
1 Octen 3 Yl Butyrate,Flavoring Agent,Almost Colorless Liquid,Infrared spectra,Procedure,pending,Octenylbutyrate
Octyl Acetate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Octylacetate1
3 Octyl Acetate,Flavoring Agent,Colorless Liquid,None,Procedure,pending,Octylacetate2
Octyl Alcohol,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Octylalcohol
Octyl Formate,Flavoring Agent,Colorless Liquid,Infrared spectra,Procedure,pending,Octylformate
Octyl Isobutyrate,Flavoring Agent,Colorless To Pale Yellow Liquid,None,Procedure,pending,Octylisobutyrate
Oleic Acid,"Binder, Component In The Manufacture Of Other Food Grade Additives, Defoaming Agent, Lubricator","Colorless To Pale Yellow, Oily Liquid That Darkens With Exposure To Air",None,None,high_suscept_id,Oleicacid
Olestra,Calorie Free Substitute For Fats And Oils,"Solid, Soft Gel, Or Liquid At Room Temperature",All ID tests listed in monograph,All assays listed in monograph,low_suscept,Olestra
Olibanum Oil,Flavoring Agent,Pale Yellow Liquid,Infrared spectra,None,pending,Olibanumoil
Onion Oil,Flavoring Agent,"Clear, Amber Yellow To Amber Orange Liquid",Infrared spectra,None,high_suscept,Onionoil
"Orange Oil, Bitter, Coldpressed",Flavoring Agent,Pale Yellow Or Yellow Brown Liquid,Infrared spectra,None,pending,Orangeoilbittercoldpressed
"Orange Oil, Coldpressed",Flavoring Agent,"Intensely Yellow, Orange, Or Deep Orange Liquid",Infrared spectra,Aldehydes,pending,Orangeoilcoldpressed
"Orange Oil, Distilled",Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,None,pending,Orangeoildistilled
"Origanum Oil, Spanish Type",Flavoring Agent,"Yellow Red To Dark, Brown Red Liquid",Infrared spectra,Phenols,pending,Origanumoilspanishtype
Orris Root Oil,Flavoring Agent,Light Yellow To Brown Yellow Mass At Room Temperature,Infrared spectra,Keystones,high_suscept,Orrisrootoil
Ox Bile Extract,Surfactant,Yellow Green Powder,All ID tests listed in monograph,All assays listed in monograph,high_suscept,Oxbileextract
Oxystearin,"Crystallization Inhibitor In Salad And Cooking Oils, Defoaming Agent, Sequestrant","Tan To Light Brown, Fatty Or Wax Like Substance",None,None,pending,Oxystearin
Ozone,"And Storage Or Display Of Fish, Antimicrobial In The Treatment, Meat And Poultry And In Preparing, Or Holding Raw Agricultural Commodities; Disinfectant For Water To Be Used For Direct Consumption Or To Make Ice, Packing, Processing","Unstable, Colorless Gas",Procedure,Procedure,high_suscept_id,Ozone
Palmarosa Oil,Flavoring Agent,"Light Yellow To Yellow Oil, Often Hazy And Brown",All ID tests listed in monograph,All assays listed in monograph,high_suscept,Palmarosaoil
Palmitic Acid,"Component In The Manufacture Of Other Food Grade Additives, Defoaming Agent","Hard, White Or Faintly Yellow, Somewhat Glossy Crystalline Solid Or As A White Or Pale Yellow Powder",None,None,pending,Palmiticacid
Palm Kernel Oil (Unhydrogenated),"Coating Agent, Texturizer",See Monograph,Fatty acid composition,None,pending,Palmkerneloilunhydrogenated
Palm Oil (Unhydrogenated),"Coating Agent, Emulsifying Agent, Texturizer",See Monograph,Fatty acid composition,None,pending,Palmoilunhydrogenated
Dl Panthenol,Nutrient,"White To Creamy White, Crystalline Powder",All ID tests listed in monograph,All assays listed in monograph,low_suscept,Panthenol2
"Paraffin, Synthetic",Masticatory Substance In Chewing Gum Base,White Wax That Is Very Hard At Room Temperature,Infrared spectra,None,pending,Paraffinsynthetic
Parsley Herb Oil,Flavoring Agent,Yellow To Light Brown Liquid,Infrared spectra,None,pending,Parsleyherboil
Parsley Seed Oil,Flavoring Agent,Yellow To Light Brown Liquid,Infrared spectra,None,pending,Parsleyseedoil
Partially Hydrolyzed Proteins,"Binder, Dough Conditioner, Emulsifier, Emulsifier Salt, Fermentation Aid, Flavor Enhancer, Flavoring Agent, Nutrient, Surface Active Agent, Texturizer","Liquid, Paste, Powder, Or Granules",None,Total nitrogen,high_suscept_id,Partiallyhydrolyzedproteins
Patent Blue V,Color,Blue Powder Or Granules,Visible absorption spectrum,Total color,pending,Patentbluev
Peanut Oil (Unhydrogenated),"Coating Agent, Texturizer",Pale Yellow Oil,Fatty acid composition,None,high_suscept,Peanutoilunhydrogenated
Pectins,"Gelling Agent, Stabilizer, Thickener","White, Yellow, Light Gray, Or Light Brown Powder",Procedure,None,high_suscept,Pectins
Pennyroyal Oil,Flavoring Agent,Light Yellow To Yellow Liquid,Infrared spectra,Ketones,pending,Pennyroyaloil
Omega Pentadecalactone,Flavoring Agent,White To Tan Or Blue Gray Crystalline Solid,Infrared spectra,Procedure,pending,Pentadecalactone
Pentaerythritol Ester Of Partially Hydrogenated Wood Rosin,Masticatory Substance In Chewing Gum Base,"Hard, Amber Colored Resin",Infrared spectra,None,pending,Pentaerythritolesterofpartiallyhydrogenatedwoodrosin
Pentaerythritol Ester Of Wood Rosin,Masticatory Substance In Chewing Gum Base,"Hard, Pale Amber Colored Resin",Infrared spectra,None,high_suscept,Pentaerythritolesterofwoodrosin
"2,3 Pentanedione",Flavoring Agent,Yellow To Yellow Green Liquid,Infrared spectra,Procedure,pending,Pentanedione
2 Pentanone,Flavoring Agent,"Colorless, Mobile Liquid",Infrared spectra,Procedure,pending,Pentanone
