classification,date_case,date_last_change,reference,country,type,category,subject,hazard,chemical,amount,product,origin
alert,08/05/2014,17/06/2014,2014.0629,Italy,food,fish and fish products,"mercury (1.89 mg/kg - ppm) in frozen blue shark slices from Portugal, with raw material from Spain",hm,mercury,1.89 mg/kg - ppm,frozen blue shark slices,"Portugal, with raw material from Spain"
alert,08/05/2014,10/06/2014,2014.0633,Italy,food,fish and fish products,mercury (2.6 mg/kg - ppm) in frozen mako shark fillets (Isurus oxyrinchus) from Spain,hm,mercury,2.6 mg/kg - ppm,frozen mako shark fillets (isurus oxyrinchus),Spain
alert,07/05/2014,17/07/2014,2014.0625,Belgium,food,fish and fish products,"mercury (1.52 mg/kg - ppm) in frozen skinless and boneless swordfish loins (Xiphias gladius) from Indonesia, packaged in Belgium",hm,mercury,1.52 mg/kg - ppm,frozen skinless and boneless swordfish loins (xiphias gladius),"Indonesia, packaged in Belgium"
border rejection,06/05/2014,16/07/2014,2014.ASQ,Spain,food,bivalve molluscs and products thereof,cadmium (1.3 mg/kg - ppm) in frozen mussels (Mytilus chilensis) from Chile,hm,cadmium,1.3 mg/kg - ppm,frozen mussels (mytilus chilensis),Chile
border rejection,06/05/2014,05/06/2014,2014.ASN,Italy,food,fish and fish products,mercury (0.662 mg/kg - ppm) in frozen snapper (Pagrus auratus) from New Zealand,hm,mercury,0.662 mg/kg - ppm,frozen snapper (pagrus auratus),New Zealand
alert,05/05/2014,07/11/2014,2014.0609,Italy,food,fish and fish products,"mercury (2.7 mg/kg - ppm) in frozen blue shark (Prionace glauca) from Portugal, with raw material from Spain",hm,mercury,2.7 mg/kg - ppm,frozen blue shark (prionace glauca),"Portugal, with raw material from Spain"
information for attention,05/05/2014,15/05/2014,2014.0615,Belgium,food,fruits and vegetables,cadmium (0.31: 0.30 mg/kg - ppm) in fresh spinach from Belgium,hm,cadmium,0.31: 0.30 mg/kg - ppm,fresh spinach,Belgium
information for attention,28/04/2014,11/06/2014,2014.0568,Ireland,food,fish and fish products,"mercury (1.63 mg/kg - ppm) in chilled swordfish fillets (Xiphias gladius) from India, via the United Kingdom",hm,mercury,1.63 mg/kg - ppm,chilled swordfish fillets (xiphias gladius),"India, via the United Kingdom"
alert,25/04/2014,11/06/2014,2014.0559,Italy,food,fish and fish products,mercury (1.907 mg/kg - ppm) in frozen swordfish from Spain,hm,mercury,1.907 mg/kg - ppm,swordfish,Spain
alert,18/04/2014,18/09/2014,2014.0541,Slovenia,food,fish and fish products,"mercury (1.7 mg/kg - ppm) in frozen blue shark cutlets (Prionace glauca) from Portugal, with raw material from Spain",hm,mercury,1.7 mg/kg - ppm,frozen blue shark cutlets (prionace glauca),"Portugal, with raw material from Spain"
alert,15/04/2014,10/06/2014,2014.0511,Portugal,food,crustaceans and products thereof,cadmium (0.89 mg/kg - ppm) in frozen cooked crab (Cancer pagurus) from the United Kingdom,hm,cadmium,0.89 mg/kg - ppm,frozen cooked crab (cancer pagurus),the United Kingdom
border rejection,11/04/2014,20/08/2015,2014.AQH,Portugal,food,"dietetic foods, food supplements, fortified foods","unauthorised substances tin, cobalt, germanium, vanadium and strontium in food supplement from the United States",hm,"tin, cobalt, germanium, vanadium",,food supplement,the United States
alert,10/04/2014,15/05/2014,2014.0500,Italy,food,fish and fish products,mercury (1.28 mg/kg - ppm) in chilled swordfish fillets (Xiphias gladius) from Spain,hm,mercury,1.28 mg/kg - ppm,chilled swordfish fillets (xiphias gladius),Spain
border rejection,09/04/2014,22/10/2014,2014.APS,Spain,food,cephalopods and products thereof,cadmium (1.4 mg/kg - ppm) in frozen Pacific flying squid (Todarodes pacificus) from China,hm,cadmium,1.4 mg/kg - ppm,frozen pacific flying squid (todarodes pacificus),China
information for attention,09/04/2014,19/06/2014,2014.0485,France,food,fish and fish products,mercury (1.765 mg/kg - ppm) in frozen blue shark (Prionace glauca) from Indonesia,hm,mercury,1.765 mg/kg - ppm,frozen blue shark (prionace glauca),Indonesia
alert,08/04/2014,03/07/2014,2014.0479,Italy,food,fish and fish products,mercury (1.33 mg/kg - ppm) in frozen dogfish (Mustelus mustelus) from Spain,hm,mercury,1.33 mg/kg - ppm,frozen dogfish (mustelus mustelus),Spain
alert,04/04/2014,02/09/2014,2014.0455,France,food,fish and fish products,mercury (1.5 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from Senegal,hm,mercury,1.5 mg/kg - ppm,swordfish,Senegal
alert,04/04/2014,23/04/2014,2014.0457,Italy,food,fish and fish products,"mercury (1.52 mg/kg - ppm) in frozen unskinned blue shark (Prionace glauca) from Spain, with raw material from Namibia",hm,mercury,1.52 mg/kg - ppm,frozen unskinned blue shark (prionace glauca),"Spain, with raw material from Namibia"
alert,02/04/2014,02/12/2014,2014.0439,Italy,food,fish and fish products,mercury (0.8 mg/kg - ppm) in frozen red snappers (Lutjanus spp.) from Indonesia,hm,mercury,0.8 mg/kg - ppm,frozen red snappers (lutjanus spp.),Indonesia
alert,28/03/2014,06/01/2015,2014.0423,Italy,food,fish and fish products,mercury (1.34 mg/kg - ppm) in frozen swordfish fillets from Spain,hm,mercury,1.34 mg/kg - ppm,frozen swordfish fillets,Spain
alert,28/03/2014,10/06/2014,2014.0425,Italy,food,fish and fish products,mercury (1.38 mg/kg - ppm) in frozen slices of skinned mako (Isurus oxyrhincus) from Spain,hm,mercury,1.38 mg/kg - ppm,frozen slices of skinned mako (isurus oxyrhincus),Spain
information for follow-up,25/03/2014,18/07/2014,2014.0401,Slovenia,food,food additives and flavourings,"arsenic (18 mg/kg - ppm) and lead (2.9 mg/kg - ppm) in E 153 - vegetable carbon from Italy, packaged in Slovenia",hm,arsenic,18 mg/kg - ppm,e 153 - vegetable carbon,"Italy, packaged in Slovenia"
alert,25/03/2014,02/05/2014,2014.0395,Italy,food,fish and fish products,"mercury (2.5 mg/kg - ppm) in frozen mako (Isurus Oxyrinchus) from Portugal, processed in Spain",hm,mercury,2.5 mg/kg - ppm,frozen mako (isurus oxyrinchus),"Portugal, processed in Spain"
information for follow-up,25/03/2014,23/04/2014,2014.0399,Germany,food,food additives and flavourings,"arsenic (19.8; 27 mg/kg - ppm) in E 153 - vegetable carbon from Slovenia, via the United Kingdom",hm,arsenic,19.8; 27 mg/kg - ppm,e 153 - vegetable carbon,"Slovenia, via the United Kingdom"
information for follow-up,24/03/2014,25/03/2014,2014.0392,Belgium,food,food additives and flavourings,arsenic (17; 20 mg/kg - ppm) and lead (4.1; 4.2 mg/kg - ppm) in food additive E 153 - vegetable carbon from the United Kingdom,hm,arsenic,17; 20 mg/kg - ppm,food additive e 153 - vegetable carbon,the United Kingdom
border rejection,21/03/2014,22/10/2014,2014.AMY,Germany,food,cephalopods and products thereof,cadmium (1.75; 1.61 mg/kg - ppm) in frozen small squid (Illex Spp) from China,hm,cadmium,1.75; 1.61 mg/kg - ppm,frozen small squid (illex spp),China
alert,21/03/2014,30/07/2014,2014.0380,Italy,food,fish and fish products,mercury (5.1 mg/kg - ppm) in frozen mako shark (Isurus oxyrhincus) processed in Spain,hm,mercury,5.1 mg/kg - ppm,frozen mako shark (isurus oxyrhincus) processed in spain,
border rejection,17/03/2014,05/06/2014,2014.AML,Italy,food,fish and fish products,mercury (0.9 mg/kg - ppm) in frozen snapper (Pagrus auratus) from New Zealand,hm,mercury,0.9 mg/kg - ppm,frozen snapper (pagrus auratus),New Zealand
border rejection,14/03/2014,30/04/2014,2014.AMB,Italy,food,cephalopods and products thereof,cadmium (1.5 mg/kg - ppm) in frozen octopus (Octopus membranaceus) from India,hm,cadmium,1.5 mg/kg - ppm,frozen octopus (octopus membranaceus),India
information for attention,12/03/2014,24/03/2014,2014.0334,Italy,food,cephalopods and products thereof,cadmium (3.3 mg/kg - ppm) in frozen squids (Loligo gabi) from Spain,hm,cadmium,3.3 mg/kg - ppm,frozen squid (loligo gabi),Spain
alert,05/03/2014,06/05/2014,2014.0305,Italy,food,fish and fish products,mercury (4.23 mg/kg - ppm) in frozen sliced mako shark (Isurus oxyrhincus) from Spain,hm,mercury,4.23 mg/kg - ppm,frozen sliced mako shark (isurus oxyrhincus),Spain
border rejection,04/03/2014,14/04/2014,2014.AKG,France,food,fish and fish products,mercury (1.2 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from Senegal,hm,mercury,1.2 mg/kg - ppm,swordfish,Senegal
border rejection,04/03/2014,12/03/2014,2014.AKI,France,food,fish and fish products,mercury (1.6 mg/kg - ppm) in frozen swordfish from Senegal,hm,mercury,1.6 mg/kg - ppm,swordfish,Senegal
information for attention,03/03/2014,04/03/2014,2014.0288,France,food,cephalopods and products thereof,cadmium (18.981 mg/kg - ppm) in frozen whole calamars from China,hm,cadmium,18.981 mg/kg - ppm,frozen whole calamars,China
alert,27/02/2014,12/03/2015,2014.0280,Italy,food,fish and fish products,mercury (3.38 mg/kg - ppm) in frozen mako sharks (Isurus oxyrhincus) from Spain,hm,mercury,3.38 mg/kg - ppm,frozen mako sharks (isurus oxyrhincus),Spain
alert,14/02/2014,04/03/2014,2014.0228,Italy,food,fish and fish products,mercury (4.01 mg/kg - ppm) in frozen slices of mako (Isurus oxyrinchus) from Spain,hm,mercury,4.01 mg/kg - ppm,frozen slices of mako (isurus oxyrinchus),Spain
information for attention,12/02/2014,10/03/2014,2014.0206,Germany,food,fish and fish products,mercury (1.38 mg/kg - ppm) in swordfish (Xiphias gladius) from Sri Lanka,hm,mercury,1.38 mg/kg - ppm,swordfish,Sri Lanka
information for attention,07/02/2014,08/02/2014,2014.0178,France,food,crustaceans and products thereof,cadmium (0.769 mg/kg - ppm) in live lobsters (Homarus spp) from the United States,hm,cadmium,0.769 mg/kg - ppm,live lobsters (homarus spp),the United States
alert,05/02/2014,25/02/2015,2014.0162,Germany,food,"cocoa and cocoa preparations, coffee and tea","cadmium (2.46 mg/kg - ppm) in organic cocoa processed in Germany, with raw material from Ecuador",hm,cadmium,2.46 mg/kg - ppm,"organic cocoa processed in germany, with raw material",Ecuador
alert,05/02/2014,05/02/2014,2014.0164,Switzerland,food,fish and fish products,mercury (1.65; 2.81; 2.1; 4.98; 5.09 mg/kg - ppm) in chilled swordfish (Xiphias gladius) from France,hm,mercury,1.65; 2.81; 2.1; 4.98; 5.09 mg/kg - ppm,swordfish,France
alert,04/02/2014,03/06/2014,2014.0155,Germany,food,fish and fish products,"mercury (1.37;1.36 mg/kg - ppm) in frozen swordfish steaks from Vietnam, via the Netherlands",hm,mercury,1.37;1.36 mg/kg - ppm,frozen swordfish steak,"Vietnam, via the Netherlands"
alert,03/02/2014,10/04/2014,2014.0145,Italy,food,fish and fish products,"mercury (1.81 mg/kg - ppm) in chilled vacuum packed swordfish fillets from Vietnam, via Portugal and via Spain",hm,mercury,1.81 mg/kg - ppm,chilled vacuum packed swordfish fillets,"Vietnam, via Portugal and via Spain"
alert,31/01/2014,10/03/2014,2014.0137,Finland,food,herbs and spices,lead (9.9 mg/kg - ppm) and Salmonella enteritidis in dried nettle from Germany,hm,lead,9.9 mg/kg - ppm,dried nettle,Germany
alert,28/01/2014,18/02/2014,2014.0119,Italy,food,fish and fish products,mercury (1.48 mg/kg - ppm) in frozen shortfin mako shark (Isurus oxyrinchus) from Spain,hm,mercury,1.48 mg/kg - ppm,frozen shortfin mako shark (isurus oxyrinchus),Spain
information for attention,24/01/2014,04/03/2014,2014.0104,Italy,food,fish and fish products,mercury (1.2; 1.7 mg/kg - ppm) in chilled swordfish loins (Xiphias gladius) from Spain,hm,mercury,1.2; 1.7 mg/kg - ppm,swordfish,Spain
alert,24/01/2014,08/02/2014,2014.0101,Belgium,food,fruits and vegetables,cadmium (0.28; 0.34 mg/kg - ppm) in fresh spinach from Belgium,hm,cadmium,0.28; 0.34 mg/kg - ppm,fresh spinach,Belgium
information for attention,22/01/2014,20/02/2014,2014.0092,France,food,crustaceans and products thereof,cadmium (0.684 mg/kg - ppm) in live lobsters (Homarus spp.) from the United States,hm,cadmium,0.684 mg/kg - ppm,live lobsters (homarus spp.),the United States
information for attention,21/01/2014,05/05/2014,2014.0088,Italy,food,fish and fish products,mercury (1.28 mg/kg - ppm) in loins of swordfish from Spain,hm,mercury,1.28 mg/kg - ppm,loins of swordfish,Spain
information for attention,21/01/2014,06/03/2014,2014.0086,Italy,food,fish and fish products,mercury (1.9 mg/kg - ppm) in swordfish loins (Xiphias gladius) from Spain,hm,mercury,1.9 mg/kg - ppm,swordfish loins (xiphias gladius),Spain
information for attention,17/01/2014,26/05/2014,2014.0064,Italy,food,fish and fish products,"mercury (1.41 mg/kg - ppm) in defrozen swordfish from Spain, with raw material from Vietnam",hm,mercury,1.41 mg/kg - ppm,defrozen swordfish,"Spain, with raw material from Vietnam"
alert,15/01/2014,27/02/2014,2014.0060,Italy,food,fish and fish products,mercury (1.8 mg/kg - ppm) in frozen mako (Isurus oxyrinchus) from Spain,hm,mercury,1.8 mg/kg - ppm,frozen mako (isurus oxyrinchus),Spain
information for attention,14/01/2014,17/02/2014,2014.0049,Italy,food,fish and fish products,"mercury (1.4 mg/kg - ppm) in chilled vacuum packed swordfish loins (Xiphias gladius) from Spain, with raw material from Vietnam",hm,mercury,1.4 mg/kg - ppm,chilled vacuum packed swordfish loins (xiphias gladius),"Spain, with raw material from Vietnam"
alert,14/01/2014,05/02/2014,2014.0046,Italy,food,fish and fish products,"mercury (1.3 mg/kg - ppm) in swordfish loins (Xiphias gladius) from Spain, with raw material from Vietnam",hm,mercury,1.3 mg/kg - ppm,swordfish loins (xiphias gladius),"Spain, with raw material from Vietnam"
alert,13/01/2014,07/03/2014,2014.0043,Italy,food,fish and fish products,mercury (1.77 mg/kg - ppm) in mako (Isurus oxyrinchus ) from Spain,hm,mercury,1.77 mg/kg - ppm,mako (isurus oxyrinchus ),Spain
information for attention,09/01/2014,30/01/2014,2014.0025,Italy,food,fish and fish products,mercury (1.26 mg/kg - ppm) in chilled vacuum packed swordfish loins (Xiphias gladius) from Spain,hm,mercury,1.26 mg/kg - ppm,chilled vacuum packed swordfish loins (xiphias gladius),Spain
alert,07/01/2014,19/02/2014,2014.0015,Italy,food,fish and fish products,"mercury (1.5 mg/kg - ppm) in chilled vacuum packed swordfish fillets from Spain, with raw material from Vietnam",hm,mercury,1.5 mg/kg - ppm,chilled vacuum packed swordfish fillets,"Spain, with raw material from Vietnam"
alert,03/01/2014,08/02/2014,2014.0012,Italy,food,fish and fish products,mercury (1.8 mg/kg - ppm) in frozen sliced mako (Isurus oxyrinchus) from Spain,hm,mercury,1.8 mg/kg - ppm,frozen sliced mako (isurus oxyrinchus),Spain
information for attention,27/12/2013,18/03/2014,2013.1729,Italy,food,fish and fish products,mercury (1.45 mg/kg - ppm) in swordfish loaf (Xiphias gladius) from Spain,hm,mercury,1.45 mg/kg - ppm,swordfish loaf (xiphias gladius),Spain
information for attention,20/12/2013,28/03/2014,2013.1716,Cyprus,food,fish and fish products,mercury (0.91 mg/kg - ppm) in dentex (Dentex dentex) from Egypt,hm,mercury,0.91 mg/kg - ppm,dentex (dentex dentex),Egypt
information for attention,19/12/2013,13/03/2014,2013.1699,Italy,food,cephalopods and products thereof,cadmium (1.6 mg/kg - ppm) in frozen octopus from India,hm,cadmium,1.6 mg/kg - ppm,frozen octopus,India
information for attention,18/12/2013,18/12/2013,2013.1686,Slovenia,food,fruits and vegetables,"cadmium (0.067 mg/kg - ppm) in avocados from Chile, via Germany",hm,cadmium,0.067 mg/kg - ppm,avocados,"Chile, via Germany"
alert,17/12/2013,28/02/2014,2013.1673,Belgium,food,"dietetic foods, food supplements, fortified foods","lead (25 mg/kg - ppm) in ayurvedic food supplements from India, via the Netherlands",hm,lead,25 mg/kg - ppm,ayurvedic food supplement,"India, via the Netherlands"
border rejection,16/12/2013,21/01/2014,2013.CCT,Spain,food,fish and fish products,mercury (1.3 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from South Korea,hm,mercury,1.3 mg/kg - ppm,swordfish,South Korea
alert,16/12/2013,09/01/2014,2013.1668,Belgium,food,"dietetic foods, food supplements, fortified foods","arsenic (0.92; 1.13; 0.65 mg/kg - ppm), lead (0.37; 0.69; 0.12 mg/kg - ppm) and mercury (0.77; 0.8; 1.98 mg/kg - ppm) in various ayurvedic food supplements from Nepal, via the Netherlands",hm,arsenic,0.92; 1.13; 0.65 mg/kg - ppm,various ayurvedic food supplement,"Nepal, via the Netherlands"
border rejection,16/12/2013,16/12/2013,2013.CCU,Spain,food,fish and fish products,mercury (1.3 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from South Korea,hm,mercury,1.3 mg/kg - ppm,swordfish,South Korea
alert,12/12/2013,26/02/2014,2013.1653,Italy,food,fish and fish products,"mercury (2.32 mg/kg - ppm) in chilled swordfish fillets from Indonesia, via Spain",hm,mercury,2.32 mg/kg - ppm,chilled swordfish fillets,"Indonesia, via Spain"
alert,09/12/2013,11/02/2014,2013.1628,Italy,food,fish and fish products,"mercury (1.9 mg/kg - ppm) in chilled swordfish loins from Spain, with raw material from Indonesia, via Portugal",hm,mercury,1.9 mg/kg - ppm,swordfish,"Spain, with raw material from Indonesia, via Portugal"
alert,09/12/2013,20/12/2013,2013.1631,Czech Republic,food,"dietetic foods, food supplements, fortified foods","lead (5.5 mg/kg - ppm) in food supplement (Chlorella vulgaris) from the Czech Republic, with raw material from Spain",hm,lead,5.5 mg/kg - ppm,food supplement (chlorella vulgaris),"the Czech Republic, with raw material from Spain"
alert,06/12/2013,24/02/2014,2013.1621,Italy,food,fish and fish products,mercury (4.2 mg/kg - ppm) in frozen shortfin mako shark (Isurus oxyrinchus) from Spain,hm,mercury,4.2 mg/kg - ppm,frozen shortfin mako shark (isurus oxyrinchus),Spain
alert,04/12/2013,05/12/2013,2013.1611,Slovenia,food,"dietetic foods, food supplements, fortified foods",lead (5.4 mg/kg - ppm) in food supplement from Austria,hm,lead,5.4 mg/kg - ppm,food supplement,Austria
alert,02/12/2013,08/04/2014,2013.1590,Italy,food,fish and fish products,mercury (2.0 mg/kg - ppm) in frozen sliced blue shark from Spain,hm,mercury,2.0 mg/kg - ppm,frozen sliced blue shark,Spain
alert,29/11/2013,20/01/2014,2013.1585,Slovenia,food,"dietetic foods, food supplements, fortified foods","mercury (0.27 mg/kg - ppm) in food supplement from India, via Italy",hm,mercury,0.27 mg/kg - ppm,food supplement,"India, via Italy"
information for attention,29/11/2013,14/01/2014,2013.1573,Spain,food,fish and fish products,mercury (2.32 mg/kg - ppm) in frozen swordfish from Mozambique,hm,mercury,2.32 mg/kg - ppm,swordfish,Mozambique
information for attention,21/11/2013,28/01/2014,2013.1533,Italy,food,fish and fish products,mercury (2.39 mg/kg - ppm) in chilled swordfish loaf (Xiphias gladius) from Spain,hm,mercury,2.39 mg/kg - ppm,chilled swordfish loaf (xiphias gladius),Spain
information for attention,20/11/2013,03/02/2014,2013.1526,Italy,food,fish and fish products,mercury (1.3 mg/kg - ppm) in frozen tuna fillets from Spain,hm,mercury,1.3 mg/kg - ppm,frozen tuna fillets,Spain
alert,19/11/2013,04/12/2013,2013.1524,Italy,food,fish and fish products,mercury (1.9 mg/kg - ppm) in frozen mako shark (Isurus oxyrinchus) from Spain,hm,mercury,1.9 mg/kg - ppm,frozen mako shark (isurus oxyrinchus),Spain
border rejection,12/11/2013,10/12/2013,2013.BXY,Czech Republic,food,fish and fish products,mercury (1.211; 1.462 mg/kg - ppm) in chilled swordfish from Sri Lanka,hm,mercury,1.211; 1.462 mg/kg - ppm,chilled swordfish,Sri Lanka
alert,08/11/2013,18/09/2015,2013.1473,Italy,food,fish and fish products,mercury (1.76 µg/kg - ppb) in frozen swordfish fillets (Xiphias Gladius) from Spain,hm,mercury,1.76 µg/kg - ppb,swordfish,Spain
information for attention,08/11/2013,31/01/2014,2013.1476,Spain,food,fish and fish products,mercury (1.38 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from South Korea,hm,mercury,1.38 mg/kg - ppm,swordfish,South Korea
information for attention,05/11/2013,10/12/2013,2013.1456,Switzerland,food,fish and fish products,mercury (1.5 mg/kg - ppm) in chilled swordfish (Xiphias gladius) from Sri Lanka,hm,mercury,1.5 mg/kg - ppm,swordfish,Sri Lanka
information for follow-up,05/11/2013,25/11/2013,2013.1455,Bulgaria,food,fruits and vegetables,cadmium (0.69 mg/kg - ppm) in frozen spinach from Belgium,hm,cadmium,0.69 mg/kg - ppm,frozen spinach,Belgium
information for attention,04/11/2013,09/01/2014,2013.1454,France,food,cephalopods and products thereof,cadmium (1.427 mg/kg - ppm) in frozen octopus from India,hm,cadmium,1.427 mg/kg - ppm,frozen octopus,India
alert,30/10/2013,08/11/2013,2013.1439,Slovakia,food,fruits and vegetables,cadmium (0.394 mg/kg - ppm) in celery root from Poland,hm,cadmium,0.394 mg/kg - ppm,celery root,Poland
alert,28/10/2013,14/01/2014,2013.1429,Netherlands,food,fish and fish products,mercury (1.6 mg/kg - ppm) in frozen swordfish steaks from Vietnam,hm,mercury,1.6 mg/kg - ppm,frozen swordfish steak,Vietnam
alert,23/10/2013,31/10/2013,2013.1406,Germany,food,"dietetic foods, food supplements, fortified foods",arsenic (5.7 mg/kg - ppm) and lead (44 mg/kg - ppm) in food supplement from Germany,hm,arsenic,5.7 mg/kg - ppm,food supplement,Germany
alert,22/10/2013,13/12/2013,2013.1399,Italy,food,fish and fish products,mercury (2 mg/kg - ppm) in frozen yellowfin tuna slices (Thunnus albacares) from Spain,hm,mercury,2 mg/kg - ppm,frozen yellowfin tuna slices (thunnus albacares),Spain
border rejection,17/10/2013,23/10/2013,2013.BUF,Italy,food,cephalopods and products thereof,cadmium (3.55 mg/kg - ppm) in frozen cuttlefish (sepia pharaonis) from Yemen,hm,cadmium,3.55 mg/kg - ppm,frozen cuttlefish (sepia pharaonis),Yemen
alert,10/10/2013,05/11/2013,2013.1351,Italy,food,fish and fish products,"mercury (3.84 mg/kg - ppm) in swordfish (Xiphias gladius) from Spain, with raw material from China",hm,mercury,3.84 mg/kg - ppm,swordfish,"Spain, with raw material from China"
alert,04/10/2013,07/05/2014,2013.1329,Italy,food,fish and fish products,mercury (1.69 mg/kg - ppm) in chilled vacuum packed swordfish loins (Xiphias gladius) from Spain,hm,mercury,1.69 mg/kg - ppm,chilled vacuum packed swordfish loins (xiphias gladius),Spain
information for attention,04/10/2013,07/11/2013,2013.1331,Italy,food,fish and fish products,"mercury (2.6 mg/kg - ppm) in chilled vacuum packed swordfish (Xiphias gladius) from China, via Singapore",hm,mercury,2.6 mg/kg - ppm,chilled vacuum packed swordfish (xiphias gladius),"China, via Singapore"
border rejection,04/10/2013,04/10/2013,2013.BSQ,France,food,fish and fish products,mercury (1.792 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from Vietnam,hm,mercury,1.792 mg/kg - ppm,swordfish,Vietnam
information for attention,26/09/2013,19/12/2013,2013.1310,Italy,food,fish and fish products,mercury (2.8 mg/kg - ppm) in chilled mako shark (Isurus glaucus) from Spain,hm,mercury,2.8 mg/kg - ppm,chilled mako shark (isurus glaucus),Spain
alert,23/09/2013,06/05/2014,2013.1296,Italy,food,fish and fish products,mercury (1.6 mg/kg - ppm) in chilled swordfish from Spain,hm,mercury,1.6 mg/kg - ppm,chilled swordfish,Spain
alert,23/09/2013,29/11/2013,2013.1294,Latvia,food,crustaceans and products thereof,cadmium (1.09 mg/kg - ppm) in frozen shrimps (Pandalus spp) from Canada,hm,cadmium,1.09 mg/kg - ppm,frozen shrimps (pandalus spp),Canada
information for attention,19/09/2013,18/10/2013,2013.1275,France,food,fish and fish products,mercury (1.26 mg/kg - ppm) in vacuum packed loins of swordfish from Spain,hm,mercury,1.26 mg/kg - ppm,vacuum packed loins of swordfish,Spain
information for attention,19/09/2013,03/10/2013,2013.1273,France,food,fish and fish products,mercury (2.81 mg/kg - ppm) in chilled  loins of swordfish from Malta,hm,mercury,2.81 mg/kg - ppm,chilled loins of swordfish,Malta
information for attention,11/09/2013,21/10/2013,2013.1243,Greece,food,fish and fish products,mercury (1.3 mg/kg - ppm) in frozen shark (Prionace glauca) from China,hm,mercury,1.3 mg/kg - ppm,frozen shark (prionace glauca),China
border rejection,09/09/2013,14/09/2015,2013.BOY,France,food,fish and fish products,mercury (1.247 mg/kg - ppm) in frozen tuna loins (Thunnus albacares) from Vietnam,hm,mercury,1.247 mg/kg - ppm,tuna,Vietnam
information for attention,09/09/2013,17/06/2014,2013.1226,Italy,food,cephalopods and products thereof,cadmium (3.606 mg/kg - ppm) in frozen squids (Illex argentinus) from Argentina,hm,cadmium,3.606 mg/kg - ppm,frozen squid (illex argentinus),Argentina
alert,09/09/2013,09/09/2013,2013.1225,Sweden,food,"dietetic foods, food supplements, fortified foods","mercury (0.28 mg/kg - ppm) in Chinese herbs (Shi Quan Da Bu Wan) from China, via the United Kingdom",hm,mercury,0.28 mg/kg - ppm,chinese herbs (shi quan da bu wan),"China, via the United Kingdom"
alert,06/09/2013,27/01/2014,2013.1218,Sweden,food,"dietetic foods, food supplements, fortified foods",mercury (0.16 mg/kg - ppm) in food supplement from India,hm,mercury,0.16 mg/kg - ppm,food supplement,India
information for attention,03/09/2013,03/09/2013,2013.1200,Sweden,food,"dietetic foods, food supplements, fortified foods",mercury (0.2 mg/kg - ppm) in food supplements from China,hm,mercury,0.2 mg/kg - ppm,food supplement,China
border rejection,03/09/2013,03/09/2013,2013.BOH,Spain,food,fish and fish products,mercury (1.97 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from Vietnam,hm,mercury,1.97 mg/kg - ppm,swordfish,Vietnam
alert,28/08/2013,23/09/2013,2013.1179,Germany,food,fish and fish products,mercury (2.16 mg/kg - ppm) in frozen swordfish from Portugal,hm,mercury,2.16 mg/kg - ppm,swordfish,Portugal
border rejection,28/08/2013,28/08/2013,2013.BNU,Germany,food,fish and fish products,mercury (1.07 mg/kg - ppm) in frozen swordfish from Vietnam,hm,mercury,1.07 mg/kg - ppm,swordfish,Vietnam
information for attention,26/08/2013,04/10/2013,2013.1170,France,food,fish and fish products,mercury (2.26 mg/kg - ppm) in swordfish loins  (Xiphias Gladius) from Spain,hm,mercury,2.26 mg/kg - ppm,swordfish loins (xiphias gladius),Spain
border rejection,23/08/2013,14/01/2014,2013.BND,France,food,fish and fish products,mercury (1.315 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from Indonesia,hm,mercury,1.315 mg/kg - ppm,swordfish,Indonesia
alert,23/08/2013,14/11/2013,2013.1160,France,food,crustaceans and products thereof,cadmium (0.996 mg/kg - ppm) in chilled lobster (Scyllarus arctus) from Mauritania,hm,cadmium,0.996 mg/kg - ppm,chilled lobster (scyllarus arctus),Mauritania
alert,22/08/2013,28/02/2014,2013.1156,Italy,food,fish and fish products,"mercury (2.1 mg/kg - ppm) in chilled swordfish from Senegal, via Germany and via Spain",hm,mercury,2.1 mg/kg - ppm,chilled swordfish,"Senegal, via Germany and via Spain"
alert,19/08/2013,24/09/2013,2013.1143,Italy,food,fish and fish products,"mercury (5.6 mg/kg - ppm) in frozen shortfin mako shark (Isurus oxyrhincus) from Japan, via Spain",hm,mercury,5.6 mg/kg - ppm,frozen shortfin mako shark (isurus oxyrhincus),"Japan, via Spain"
border rejection,19/08/2013,29/08/2013,2013.BMO,Finland,food,"dietetic foods, food supplements, fortified foods","lead (29 mg/kg - ppm) in food supplement from India, dispatched from the United States",hm,lead,29 mg/kg - ppm,food supplement,"India, dispatched from the United States"
information for attention,16/08/2013,28/10/2013,2013.1137,United Kingdom,food,fruits and vegetables,cadmium (3.7 mg/kg - ppm) in dried seaweed from China,hm,cadmium,3.7 mg/kg - ppm,dried seaweed,China
